"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-09-16 17:05:04",1758042304452,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",503,"wljhr-1758042304386-bf55a93a72c9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",5,"iad1",175,2048,"","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QSBY4CAKHJ3G110NASG3F","i26tIfxDcJNs",1
"2025-09-16 17:05:04",1758042304046,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",-1,"p97pb-1758042303966-4b299e96f1fa","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",-1,"iad1",-1,-1,"127.0.0.1 - - [16/Sep/2025 17:05:04] ""GET /health HTTP/1.1"" 503 -","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QSBGVYEKF423E4NX9Y1VG","",-1
"2025-09-16 17:05:04",1758042304027,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",503,"p97pb-1758042303966-4b299e96f1fa","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",5,"iad1",175,2048,"","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QSBGVYEKF423E4NX9Y1VG","i26tIfxDcJNs",1
"2025-09-16 17:05:03",1758042303664,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",-1,"rkbnk-1758042303571-bbdd884d71ea","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",-1,"iad1",-1,-1,"127.0.0.1 - - [16/Sep/2025 17:05:03] ""GET /health HTTP/1.1"" 503 -","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QSB50BBFGS953RK6YG2QH","",-1
"2025-09-16 17:05:03",1758042303648,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",503,"rkbnk-1758042303571-bbdd884d71ea","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",5,"iad1",175,2048,"","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QSB50BBFGS953RK6YG2QH","i26tIfxDcJNs",1
"2025-09-16 17:05:03",1758042303124,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",-1,"h957m-1758042302868-69085a08e327","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",-1,"iad1",-1,-1,"127.0.0.1 - - [16/Sep/2025 17:05:03] ""GET /health HTTP/1.1"" 503 -","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QSAM0RE35FBP18EGK86NT","",-1
"2025-09-16 17:05:03",1758042303104,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",503,"h957m-1758042302868-69085a08e327","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",4,"iad1",175,2048,"","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QSAM0RE35FBP18EGK86NT","i26tIfxDcJNs",1
"2025-09-16 17:05:01",1758042301832,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",-1,"2pktc-1758042301749-ca1d7c17e057","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",-1,"iad1",-1,-1,"%4|1758042301.830|FAIL|rdkafka#producer-1| [thrd:sasl_ssl://b0-pkc-619z3.us-east1.gcp.confluent.cloud:9092/0]: sasl_ssl://b0-pkc-619z3.us-east1.gcp.confluent.cloud:9092/0: Connection setup timed out in state SSL_HANDSHAKE (after 42239ms in state SSL_HANDSHAKE)","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QS9BRDK86PKY6SKHK3ZT6","",-1
"2025-09-16 17:05:01",1758042301832,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",-1,"2pktc-1758042301749-ca1d7c17e057","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",-1,"iad1",-1,-1,"%4|1758042301.829|FAIL|rdkafka#producer-1| [thrd:sasl_ssl://b11-pkc-619z3.us-east1.gcp.confluent.cloud:9092/11]: sasl_ssl://b11-pkc-619z3.us-east1.gcp.confluent.cloud:9092/11: Connection setup timed out in state SSL_HANDSHAKE (after 42238ms in state SSL_HANDSHAKE)","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QS9BRDK86PKY6SKHK3ZT6","",-1
"2025-09-16 17:05:01",1758042301832,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",-1,"2pktc-1758042301749-ca1d7c17e057","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",-1,"iad1",-1,-1,"127.0.0.1 - - [16/Sep/2025 17:05:01] ""GET /health HTTP/1.1"" 503 -","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QS9BRDK86PKY6SKHK3ZT6","",-1
